evt,wallclk,cl,de,locX,locY,opt1,opt2,opt3,opt4,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,pts,period
326,2024-09-18T00:16:03.9000000+00:00,01:59,Timeout : Regular,0,-80,0,0,0,0,1,9,,1611661323,1611661323,50,61,,1611661323,3200000,0,3
327,2024-09-18T00:16:45.1000000+00:00,01:59,[MIN] Smith Substitution replaced by Hines-Allen,0,-80,0,0,0,0,0,8,,1611661324,1629501,50,61,1628899,1611661323,3210000,0,3
329,2024-09-18T00:17:53.5000000+00:00,01:39,[CON] Mabrey 3pt Shot: Missed,120,210,3,0,0,0,80,2,,1611661323,1629497,50,61,,1611661323,3230000,0,3
330,2024-09-18T00:17:55.5000000+00:00,01:37,[MIN] Collier Rebound (Off:0 Def:3),120,210,0,0,0,0,0,4,,1611661324,1629483,50,61,,1611661323,3240000,0,3
331,2024-09-18T00:18:06.2000000+00:00,01:28,[CON] Mabrey Foul: Shooting (2 PF) (2 FTA),45,24,0,0,2,0,2,6,1628899,1611661323,1629497,50,61,101044,1611661324,3250000,0,3
333,2024-09-18T00:18:33.0000000+00:00,01:28,[MIN] Hines-Allen Free Throw 1 of 2 Missed,0,-80,2,0,0,0,11,3,,1611661324,1628899,50,61,,1611661324,3270000,0,3
334,2024-09-18T00:18:33.0000000+00:00,01:28,[MIN] Team Rebound,0,-80,1,0,0,0,1,4,,1611661324,0,50,61,,1611661324,3270001,0,3
335,2024-09-18T00:18:47.5000000+00:00,01:28,[MIN 62-50] Hines-Allen Free Throw 2 of 2 (7 PTS),0,-80,1,0,1,0,12,3,,1611661324,1628899,50,62,,1611661324,3290000,1,3
336,2024-09-18T00:18:59.7000000+00:00,01:17,[CON] Harris Turnover : Lost Ball (3 TO) Steal:Hiedeman (1 ST),-104,232,1,0,0,0,2,5,1629567,1611661323,1630112,50,62,,1611661323,3300000,0,3
338,2024-09-18T00:19:06.7000000+00:00,01:11,[MIN] Hiedeman Turnover : Bad Pass (1 TO) Steal:Harris (1 ST),189,688,1,0,0,0,1,5,1630112,1611661324,1629567,50,62,,1611661324,3320000,0,3
340,2024-09-18T00:19:11.4000000+00:00,01:06,[CON 53-62] Harris 3pt Shot: Made (9 PTS) Assist: Thomas (6 AST),233,13,3,0,0,0,1,1,,1611661323,1630112,53,62,203826,1611661323,3340000,3,3
342,2024-09-18T00:19:26.5000000+00:00,00:51.9,[MIN] McBride 3pt Shot: Missed,-213,94,3,0,0,0,1,2,,1611661324,203825,53,62,,1611661324,3360000,0,3
343,2024-09-18T00:19:28.1000000+00:00,00:50.3,[CON] Mabrey Rebound (Off:0 Def:3),-213,94,0,0,0,0,0,4,,1611661323,1629497,53,62,,1611661324,3370000,0,3
344,2024-09-18T00:19:46.9000000+00:00,00:33.7,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,53,62,,1611661323,3380000,0,3
345,2024-09-18T00:19:47.4000000+00:00,00:33.7,[CON] Bonner Substitution replaced by Carrington,0,-80,0,0,0,0,0,8,,1611661323,201886,53,62,1630096,1611661323,3390000,0,3
347,2024-09-18T00:20:16.5000000+00:00,00:25.7,[CON] Harris 3pt Shot: Missed,-188,159,3,0,0,0,80,2,,1611661323,1630112,53,62,,1611661323,3410000,0,3
348,2024-09-18T00:20:17.9000000+00:00,00:24.3,[MIN] McBride Rebound (Off:2 Def:5),-188,159,0,0,0,0,0,4,,1611661324,203825,53,62,,1611661323,3420000,0,3
349,2024-09-18T00:20:38.0000000+00:00,00:04.0,[MIN] Williams Pullup Jump shot: Missed,38,156,2,0,0,0,79,2,,1611661324,1627675,53,62,,1611661324,3430000,0,3
350,2024-09-18T00:20:38.0000000+00:00,00:04.0,[CON] Jones Rebound (Off:3 Def:4),38,156,0,0,0,0,0,4,,1611661323,1628280,53,62,,1611661324,3440000,0,3
351,2024-09-18T00:20:46.7000000+00:00,00:00.0,End Period,0,-80,0,0,0,0,0,13,,0,0,53,62,,1611661323,3450000,0,3
356,2024-09-18T00:23:55.8000000+00:00,10:00,Start Period,0,-80,0,0,0,0,0,12,,0,0,53,62,,1611661323,3500000,0,4
357,2024-09-18T00:24:14.4000000+00:00,09:43,[CON] Jones Driving Hook Shot: Missed Block: Collier (3 BLK),-1,49,2,0,0,0,57,2,1629483,1611661323,1628280,53,62,,1611661323,3510000,0,4
359,2024-09-18T00:24:15.4000000+00:00,09:42,[MIN] Collier Rebound (Off:0 Def:4),-1,49,0,0,0,0,0,4,,1611661324,1629483,53,62,,1611661323,3530000,0,4
360,2024-09-18T00:24:18.9000000+00:00,09:41,[CON] Jones Foul: Personal (3 PF),12,781,0,0,0,0,1,6,1629483,1611661323,1628280,53,62,101044,1611661324,3540000,0,4
362,2024-09-18T00:24:45.9000000+00:00,09:27,[MIN] McBride Turnover : Step Out of Bounds Turnover (2 TO),135,-22,0,0,0,0,39,5,,1611661324,203825,53,62,201538,1611661324,3560000,0,4
363,2024-09-18T00:25:12.9000000+00:00,09:07,[CON] Mabrey Driving Floating Jump Shot: Missed,35,57,2,0,0,0,101,2,,1611661323,1629497,53,62,,1611661323,3570000,0,4
364,2024-09-18T00:25:14.7000000+00:00,09:07,[CON] Jones Rebound (Off:4 Def:4),35,57,1,0,0,0,0,4,,1611661323,1628280,53,62,,1611661323,3580000,0,4
365,2024-09-18T00:25:15.9000000+00:00,09:07,[MIN] Hines-Allen Foul: Shooting (1 PF) (2 FTA),-23,30,0,0,2,0,2,6,1628280,1611661324,1628899,53,62,101044,1611661323,3590000,0,4
367,2024-09-18T00:25:43.1000000+00:00,09:07,[CON 54-62] Jones Free Throw 1 of 2 (8 PTS),0,-80,1,0,1,0,11,3,,1611661323,1628280,54,62,,1611661323,3610000,1,4
368,2024-09-18T00:25:56.3000000+00:00,09:07,[CON 55-62] Jones Free Throw 2 of 2 (9 PTS),0,-80,1,0,1,0,12,3,,1611661323,1628280,55,62,,1611661323,3620000,1,4
369,2024-09-18T00:26:07.3000000+00:00,08:58,[MIN] Williams Pullup Jump shot: Missed,51,179,2,0,0,0,79,2,,1611661324,1627675,55,62,,1611661324,3630000,0,4
370,2024-09-18T00:26:09.3000000+00:00,08:56,[CON] Team Rebound,51,179,0,0,0,0,0,4,,1611661323,0,55,62,,1611661324,3640000,0,4
371,2024-09-18T00:26:14.9000000+00:00,08:56,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,55,62,,1611661323,3650000,0,4
372,2024-09-18T00:26:47.2000000+00:00,08:37,[CON] Carrington Driving Floating Jump Shot: Missed,70,14,2,0,0,0,101,2,,1611661323,1630096,55,62,,1611661323,3660000,0,4
373,2024-09-18T00:26:48.2000000+00:00,08:36,[MIN] Hines-Allen Rebound (Off:1 Def:2),70,14,0,0,0,0,0,4,,1611661324,1628899,55,62,,1611661323,3670000,0,4
374,2024-09-18T00:26:54.6000000+00:00,08:32,[MIN] Hines-Allen Running Layup Shot: Missed,41,35,2,1,0,0,41,2,,1611661324,1628899,55,62,,1611661324,3680000,0,4
375,2024-09-18T00:26:55.6000000+00:00,08:31,[MIN] Collier Rebound (Off:1 Def:4),41,35,1,0,0,0,0,4,,1611661324,1629483,55,62,,1611661324,3690000,0,4
376,2024-09-18T00:27:00.3000000+00:00,08:29,[MIN 64-55] Collier Putback Layup Shot: Made (21 PTS),0,-5,2,0,0,0,72,1,,1611661324,1629483,55,64,,1611661324,3700000,2,4
377,2024-09-18T00:27:17.0000000+00:00,08:08,[CON 57-64] Mabrey Driving Floating Jump Shot: Made (13 PTS) Assist: Bonner (3 AST),32,72,2,0,0,0,101,1,,1611661323,1629497,57,64,201886,1611661323,3710000,2,4
379,2024-09-18T00:27:44.2000000+00:00,07:40,[MIN] Hines-Allen Driving Layup Shot: Missed,-38,55,2,0,0,0,6,2,,1611661324,1628899,57,64,,1611661324,3730000,0,4
380,2024-09-18T00:27:45.2000000+00:00,07:39,[CON] Carrington Rebound (Off:0 Def:3),-38,55,0,0,0,0,0,4,,1611661323,1630096,57,64,,1611661324,3740000,0,4
381,2024-09-18T00:27:52.7000000+00:00,07:31,[CON] Jones Turnover : Bad Pass (2 TO) Steal:Williams (2 ST),-66,5,1,0,0,0,1,5,1627675,1611661323,1628280,57,64,,1611661323,3750000,0,4
383,2024-09-18T00:27:55.5000000+00:00,07:31,[CON] Carrington Foul: Personal (2 PF),-98,603,0,0,0,0,1,6,1627675,1611661323,1630096,57,64,101044,1611661324,3770000,0,4
385,2024-09-18T00:28:31.3000000+00:00,07:19,[MIN 66-57] Hines-Allen Cutting Layup Shot: Made (9 PTS) Assist: Williams (11 AST),6,21,2,0,0,0,98,1,,1611661324,1628899,57,66,1627675,1611661324,3790000,2,4
387,2024-09-18T00:28:49.8000000+00:00,07:02,[MIN] Hines-Allen Foul: Shooting (2 PF) (2 FTA),54,27,0,0,2,0,2,6,1628280,1611661324,1628899,57,66,201538,1611661323,3810000,0,4
389,2024-09-18T00:29:21.6000000+00:00,07:02,[CON] Jones Free Throw 1 of 2 Missed,0,-80,2,0,0,0,11,3,,1611661323,1628280,57,66,,1611661323,3830000,0,4
390,2024-09-18T00:29:21.6000000+00:00,07:02,[CON] Team Rebound,0,-80,1,0,0,0,1,4,,1611661323,0,57,66,,1611661323,3830001,0,4
391,2024-09-18T00:29:23.7000000+00:00,07:02,[MIN] Hines-Allen Substitution replaced by Smith,0,-80,0,0,0,0,0,8,,1611661324,1628899,57,66,1629501,1611661323,3850000,0,4
393,2024-09-18T00:29:36.8000000+00:00,07:02,[CON 58-66] Jones Free Throw 2 of 2 (10 PTS),0,-80,1,0,1,0,12,3,,1611661323,1628280,58,66,,1611661323,3870000,1,4
394,2024-09-18T00:30:00.6000000+00:00,06:39,[MIN] Collier Jump Shot: Missed,-171,54,2,0,0,0,1,2,,1611661324,1629483,58,66,,1611661324,3880000,0,4
395,2024-09-18T00:30:01.6000000+00:00,06:38,[CON] Carrington Rebound (Off:0 Def:4),-171,54,0,0,0,0,0,4,,1611661323,1630096,58,66,,1611661324,3890000,0,4
401,2024-09-18T00:30:08.8000000+00:00,06:28,[CON] Jones Layup Shot: Missed Block: Williams (1 BLK),8,15,2,0,0,0,5,2,1627675,1611661323,1628280,58,66,,1611661323,3900000,0,4
403,2024-09-18T00:30:09.8000000+00:00,06:27,[MIN] Team Rebound,8,15,0,0,0,0,0,4,,1611661324,0,58,66,,1611661323,3907500,0,4
397,2024-09-18T00:30:17.0000000+00:00,06:27,[CON] Jones Substitution replaced by Thomas,0,-80,0,0,0,0,0,8,,1611661323,1628280,58,66,203826,1611661324,3910000,0,4
420,2024-09-18T00:32:15.7000000+00:00,06:27,Timeout : Regular,0,-80,0,0,0,0,1,9,,1611661323,1611661323,58,66,,1611661324,3935000,0,4
442,2024-09-18T00:33:15.0000000+00:00,06:27,Instant Replay - Challenge - Overturn Ruling,0,-80,0,0,0,0,5,18,,1611661324,0,58,66,,1611661324,3942500,0,4
404,2024-09-18T00:34:14.4000000+00:00,06:06,[MIN] Smith Turnover : Bad Pass (2 TO) Steal:Bonner (1 ST),-144,215,1,0,0,0,1,5,201886,1611661324,1629501,58,66,,1611661324,3950000,0,4
406,2024-09-18T00:34:24.8000000+00:00,05:55,[CON] Mabrey 3pt Shot: Missed,-164,187,3,0,0,0,80,2,,1611661323,1629497,58,66,,1611661323,3970000,0,4
407,2024-09-18T00:34:25.8000000+00:00,05:54,[MIN] Smith Rebound (Off:1 Def:5),-164,187,0,0,0,0,0,4,,1611661324,1629501,58,66,,1611661323,3980000,0,4
408,2024-09-18T00:34:46.3000000+00:00,05:34,[MIN] Smith Cutting Layup Shot: Missed,21,31,2,0,0,0,98,2,,1611661324,1629501,58,66,,1611661324,3990000,0,4
409,2024-09-18T00:34:47.3000000+00:00,05:33,[CON] Thomas Rebound (Off:3 Def:3),21,31,0,0,0,0,0,4,,1611661323,203826,58,66,,1611661324,4000000,0,4
410,2024-09-18T00:34:54.9000000+00:00,05:25,[CON] Bonner Pullup Jump shot: Missed,143,-6,2,0,0,0,79,2,,1611661323,201886,58,66,,1611661323,4010000,0,4
411,2024-09-18T00:34:54.9000000+00:00,05:25,[MIN] Williams Rebound (Off:0 Def:4),143,-6,0,0,0,0,0,4,,1611661324,1627675,58,66,,1611661323,4020000,0,4
412,2024-09-18T00:35:09.3000000+00:00,05:11,[MIN] Williams Turnover : Bad Pass (3 TO) Steal:Thomas (2 ST),52,193,1,0,0,0,1,5,203826,1611661324,1627675,58,66,,1611661324,4030000,0,4
414,2024-09-18T00:35:15.0000000+00:00,05:05,[CON 60-66] Thomas Running Layup Shot: Made (14 PTS),28,28,2,1,0,0,41,1,,1611661323,203826,60,66,,1611661323,4050000,2,4
415,2024-09-18T00:35:43.4000000+00:00,04:39,[MIN] Team Turnover : Shot Clock Turnover,46,158,0,0,0,0,11,5,,1611661324,0,60,66,101044,1611661324,4060000,0,4
416,2024-09-18T00:35:56.7000000+00:00,04:39,Stoppage: Equipment Malfunction,0,-80,0,0,0,0,5,20,,0,0,60,66,,1611661323,4070000,0,4
417,2024-09-18T00:36:18.8000000+00:00,04:20,[CON 62-66] Carrington Cutting Layup Shot: Made (12 PTS) Assist: Thomas (7 AST),-6,37,2,0,0,0,98,1,,1611661323,1630096,62,66,203826,1611661323,4080000,2,4
419,2024-09-18T00:36:28.5000000+00:00,04:19,Timeout : Regular,0,-80,0,0,0,0,1,9,,1611661324,1611661324,62,66,,1611661324,4100000,0,4
421,2024-09-18T00:39:44.8000000+00:00,04:01,[MIN 68-62] Smith Cutting Layup Shot: Made (8 PTS) Assist: Williams (12 AST),-29,53,2,0,0,0,98,1,,1611661324,1629501,62,68,1627675,1611661324,4110000,2,4
423,2024-09-18T00:39:48.1000000+00:00,04:01,[CON] Bonner Foul: Shooting (2 PF) (1 FTA),-22,27,0,0,1,0,2,6,1629501,1611661323,201886,62,68,1629176,1611661324,4130000,0,4
425,2024-09-18T00:40:10.9000000+00:00,04:01,[MIN 69-62] Smith Free Throw 1 of 1 (9 PTS),0,-80,1,0,1,0,10,3,,1611661324,1629501,62,69,,1611661324,4150000,1,4
426,2024-09-18T00:40:34.7000000+00:00,03:38,[CON] Carrington Driving Layup Shot: Missed Block: Smith (2 BLK),62,16,2,0,0,0,6,2,1629501,1611661323,1630096,62,69,,1611661323,4160000,0,4
428,2024-09-18T00:40:35.7000000+00:00,03:37,[MIN] Williams Rebound (Off:0 Def:5),62,16,0,0,0,0,0,4,,1611661324,1627675,62,69,,1611661323,4180000,0,4
429,2024-09-18T00:40:44.1000000+00:00,03:29,[MIN] Williams Pullup Jump shot: Missed,-65,195,2,0,0,0,79,2,,1611661324,1627675,62,69,,1611661324,4190000,0,4
430,2024-09-18T00:40:45.1000000+00:00,03:28,[CON] Harris Rebound (Off:0 Def:6),-65,195,0,0,0,0,0,4,,1611661323,1630112,62,69,,1611661324,4200000,0,4
431,2024-09-18T00:40:56.4000000+00:00,03:17,[CON 64-69] Bonner Driving Layup Shot: Made (4 PTS) Assist: Harris (2 AST),27,5,2,0,0,0,6,1,,1611661323,201886,64,69,1630112,1611661323,4210000,2,4
433,2024-09-18T00:41:10.5000000+00:00,03:03,[MIN] Williams Jump Shot: Missed,-167,-26,2,0,0,0,1,2,,1611661324,1627675,64,69,,1611661324,4230000,0,4
434,2024-09-18T00:41:12.5000000+00:00,03:01,[CON] Thomas Rebound (Off:3 Def:4),-167,-26,0,0,0,0,0,4,,1611661323,203826,64,69,,1611661324,4240000,0,4
435,2024-09-18T00:41:18.8000000+00:00,02:54,[CON 67-69] Bonner 3pt Shot: Made (7 PTS) Assist: Thomas (8 AST),74,244,3,0,0,0,1,1,,1611661323,201886,67,69,203826,1611661323,4250000,3,4
437,2024-09-18T00:41:46.5000000+00:00,02:27,[MIN] Smith Turnover : Lost Ball (3 TO) Steal:Bonner (2 ST),-18,265,1,0,0,0,2,5,201886,1611661324,1629501,67,69,,1611661324,4270000,0,4
439,2024-09-18T00:41:50.5000000+00:00,02:25,[CON 69-69] Carrington Running Layup Shot: Made (14 PTS) Assist: Thomas (9 AST),35,20,2,1,0,0,41,1,,1611661323,1630096,69,69,203826,1611661323,4290000,2,4
443,2024-09-18T00:41:58.5000000+00:00,02:25,[MIN] Carleton Foul: Flagrant Type 1 (2 PF) (1 FTA),-2,9,0,0,1,0,14,6,1630096,1611661324,1629524,69,69,201538,1611661323,4305000,0,4
445,2024-09-18T00:44:17.5000000+00:00,02:25,Instant Replay - Overturn Ruling,0,-80,0,0,0,0,1,18,,0,0,69,69,,1611661323,4320000,0,4
456,2024-09-18T00:45:09.6000000+00:00,02:25,[MIN] Smith Substitution replaced by Hines-Allen,0,-80,0,0,0,0,0,8,,1611661324,1629501,69,69,1628899,1611661323,4325000,0,4
446,2024-09-18T00:45:10.3000000+00:00,02:25,[CON 70-69] Carrington Free Throw Flagrant 1 of 1 (15 PTS),0,-80,1,1,1,0,20,3,,1611661323,1630096,70,69,,1611661323,4330000,1,4
447,2024-09-18T00:45:27.5000000+00:00,02:14,[CON] Bonner 3pt Shot: Missed,-127,202,3,0,0,0,80,2,,1611661323,201886,70,69,,1611661323,4340000,0,4
448,2024-09-18T00:45:32.4000000+00:00,02:12,[MIN] Team Rebound,-127,202,0,0,0,0,0,4,,1611661324,0,70,69,,1611661323,4350000,0,4
449,2024-09-18T00:45:34.1000000+00:00,02:12,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,70,69,,1611661324,4360000,0,4
450,2024-09-18T00:45:55.1000000+00:00,01:52,[MIN 71-70] Williams Cutting Layup Shot: Made (8 PTS) Assist: Hines-Allen (2 AST),-107,23,2,0,0,0,98,1,,1611661324,1627675,70,71,1628899,1611661324,4370000,2,4
452,2024-09-18T00:46:19.5000000+00:00,01:34,[CON] Thomas Cutting Layup Shot: Missed Block: Collier (4 BLK),40,53,2,0,0,0,98,2,1629483,1611661323,203826,70,71,,1611661323,4390000,0,4
454,2024-09-18T00:46:20.5000000+00:00,01:33,[CON] Team Rebound,40,53,1,0,0,0,0,4,,1611661323,0,70,71,,1611661323,4410000,0,4
455,2024-09-18T00:46:24.9000000+00:00,01:31,Stoppage: Out-of-Bounds,0,-80,0,0,0,0,3,20,,0,0,70,71,,1611661323,4420000,0,4
458,2024-09-18T00:46:41.1000000+00:00,01:30,[CON] Mabrey Jump Shot: Missed,154,48,2,0,0,0,1,2,,1611661323,1629497,70,71,,1611661323,4430000,0,4
459,2024-09-18T00:46:43.1000000+00:00,01:28,[CON] Thomas Rebound (Off:4 Def:4),154,48,1,0,0,0,0,4,,1611661323,203826,70,71,,1611661323,4440000,0,4
460,2024-09-18T00:46:47.7000000+00:00,01:27,[CON 72-71] Thomas Tip Layup Shot: Made (16 PTS),0,-5,2,0,0,0,97,1,,1611661323,203826,72,71,,1611661323,4450000,2,4
461,2024-09-18T00:47:01.0000000+00:00,01:12,[MIN 73-72] Collier Driving Layup Shot: Made (23 PTS),-26,35,2,0,0,0,6,1,,1611661324,1629483,72,73,,1611661324,4460000,2,4
462,2024-09-18T00:47:19.1000000+00:00,00:55.5,[CON] Bonner Driving Finger Roll Layup Shot: Missed,-84,42,2,0,0,0,75,2,,1611661323,201886,72,73,,1611661323,4470000,0,4
463,2024-09-18T00:47:22.1000000+00:00,00:52.5,[MIN] Collier Rebound (Off:1 Def:5),-84,42,0,0,0,0,0,4,,1611661324,1629483,72,73,,1611661323,4480000,0,4
464,2024-09-18T00:47:28.0000000+00:00,00:46.5,[MIN] McBride 3pt Shot: Missed,229,0,3,0,0,0,1,2,,1611661324,203825,72,73,,1611661324,4490000,0,4
465,2024-09-18T00:47:30.7000000+00:00,00:43.8,[CON] Bonner Rebound (Off:0 Def:1),229,0,0,0,0,0,0,4,,1611661323,201886,72,73,,1611661324,4500000,0,4
466,2024-09-18T00:47:42.7000000+00:00,00:36.6,Timeout : Regular,0,-80,0,0,0,0,1,9,,1611661323,1611661323,72,73,,1611661323,4510000,0,4
467,2024-09-18T00:48:30.3000000+00:00,00:36.6,[MIN] Hines-Allen Substitution replaced by Smith,0,-80,0,0,0,0,0,8,,1611661324,1628899,72,73,1629501,1611661323,4520000,0,4
469,2024-09-18T00:49:34.3000000+00:00,00:34.7,[MIN] McBride Foul: Personal (2 PF),-130,236,0,0,0,0,1,6,1629497,1611661324,203825,72,73,1629176,1611661323,4540000,0,4
471,2024-09-18T00:50:08.6000000+00:00,00:22.9,[CON 74-73] Thomas Floating Jump shot: Made (18 PTS) Assist: Mabrey (4 AST),-5,128,2,0,0,0,78,1,,1611661323,203826,74,73,1629497,1611661323,4560000,2,4
473,2024-09-18T00:50:15.2000000+00:00,00:22.9,Timeout : Regular,0,-80,0,0,0,0,1,9,,1611661324,1611661324,74,73,,1611661324,4580000,0,4
474,2024-09-18T00:52:06.3000000+00:00,00:12.8,[MIN 75-74] Collier Fadeaway Jump Shot: Made (25 PTS) Assist: McBride (1 AST),-83,51,2,0,0,0,63,1,,1611661324,1629483,74,75,203825,1611661324,4590000,2,4
476,2024-09-18T00:52:14.7000000+00:00,00:11.4,Timeout : Regular,0,-80,0,0,0,0,1,9,,1611661323,1611661323,74,75,,1611661323,4610000,0,4
477,2024-09-18T00:53:59.3000000+00:00,00:08.5,[CON 76-75] Bonner Cutting Layup Shot: Made (9 PTS) Assist: Thomas (10 AST),-28,6,2,0,0,0,98,1,,1611661323,201886,76,75,203826,1611661323,4620000,2,4
479,2024-09-18T00:54:06.4000000+00:00,00:08.5,Timeout : Reset,0,-80,0,0,0,0,6,9,,1611661324,1611661324,76,75,,1611661324,4640000,0,4
480,2024-09-18T00:54:39.6000000+00:00,00:04.6,[MIN 78-76] Carleton 3pt Shot: Made (13 PTS) Assist: Collier (2 AST),-138,301,3,0,0,0,1,1,,1611661324,1629524,76,78,1629483,1611661324,4650000,3,4
482,2024-09-18T00:54:48.8000000+00:00,00:03.4,Timeout : Reset,0,-80,0,0,0,0,6,9,,1611661323,1611661323,76,78,,1611661323,4670000,0,4
483,2024-09-18T00:55:17.4000000+00:00,00:03.4,[CON] Bonner Turnover : Out of Bounds - Bad Pass Turnover (3 TO),220,173,0,0,0,0,45,5,,1611661323,201886,76,78,201538,1611661323,4680000,0,4
484,2024-09-18T00:55:31.6000000+00:00,00:02.2,[CON] Carrington Foul: Personal Take (3 PF),-187,792,0,0,0,0,28,6,203825,1611661323,1630096,76,78,201538,1611661324,4690000,0,4
486,2024-09-18T00:55:53.0000000+00:00,00:00.0,End Period,0,-80,0,0,0,0,0,13,,0,0,76,78,,1611661324,4710000,0,4
